Name	H2O	SIO2	AL2O3	CAO	NA2O	K2O	FEO	MGO	Formula	H0R(J)	S0(J/K)	V0R(J/bar)	K1	K4	K3	K8	K6	K2	K5	K7	K9	VTA*1E5	VTB*1E5	VPA*1E5	VPB*1E8	Tkri	SMA	D1	D4	D3	D8	D6	D2	D5	D7	D9	H2O	SIO2	AL2O3	CAO	NA2O	K2O	FEO	MGO
LAWSONITE	2	2	1	1	0	0	0	0	CA(1)AL(2)SI(2)O(10)H(4)	-4865666	229.1759	10.144	728.6731	-8248.055	0	8.51E+08	0	0	0	0	0	26.66185	0	-0.77987995	1.95E-03	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0
LIME	0	0	0	1	0	0	0	0	CA(1)O(1)	-635090	37.75	1.676	58.79117	-133.904	-1147146	1.03E+08	0	0	0	0	0	5.8006956	1.13E-03	-0.17123913	4.30E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MAGNETITE	0	0	0	0	0	0	3	0	FE(3)O(4)	-1117025.7	146.1269	4.452	207.93083	0	-7243337	6.64E+08	0	0	0	0	0	13.485569	6.16E-03	-0.25897418	7.80E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
MARGARITE	1	2	2	1	0	0	0	0	CA(1)AL(4)SI(2)O(12)H(2)	-6236603	265.0841	12.958	699.79565	-5587.105	-6807750	7.34E+08	0	0	0	0	0	27.2358	1.61E-02	-1.4965199	3.74E-03	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0
MICROCLINE	0	3	0.5	0	0	0.5	0	0	K(1)AL(1)SI(3)O(8)	-3970790.8	214.1451	10.869	381.37231	-1941.045	-12037252	1.84E+09	0	0	0	0	0	16.461182	5.96E-03	-1.961323	5.56E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	0	0.5	0	0
MUSCOVITE	1	3	1.5	0	0	0.5	0	0	K(1)AL(3)SI(3)O(12)H(2)	-5976740	293.157	14.087	651.48926	-3873.229	-18523200	2.74E+09	0	0	0	0	0	47.22995	0	-2.4186	6.05E-03	0	0	0	0	0	0	0	0	0	0	0	1	3	1.5	0	0	0.5	0	0
PARAGONITE	1	3	1.5	0	0.5	0	0	0	NA(1)AL(3)SI(3)O(12)H(2)	-5944208.1	277.6991	13.216	577.56934	-1472.801	-32214368	5.05E+09	0	0	0	0	0	52.102877	7.89E-03	-2.6078254	6.52E-03	0	0	0	0	0	0	0	0	0	0	0	1	3	1.5	0	0.5	0	0	0
PERICLASE	0	0	0	0	0	0	0	1	MG(1)O(1)	-601500	26.94	1.125	61.10965	-296.199	-621154	5844612	0	0	0	0	0	4.2162095	4.00E-05	-7.00E-02	1.70E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PHLOGOPITE	1	3	0.5	0	0	0.5	0	3	K(1)MG(3)AL(1)SI(3)O(12)H(2)	-6221413.8	324.5927	14.961	610.37988	-2083.781	-21533008	2.84E+09	0	0	0	0	0	51.536645	0	-2.5388494	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0.5	0	0	0.5	0	3
PREHNITE	1	3	1	2	0	0	0	0	CA(2)AL(2)SI(3)O(12)H(2)	-6198606.3	288.6335	14.016	716.05176	-6404.609	-2182456	2.69E+08	0	0	0	0	0	2.05812	0.15814996	-1.9999999	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0
PYROPE	0	3	1	0	0	0	0	3	MG(3)AL(2)SI(3)O(12)	-6287567	268.8	11.311	590.9042	-2826.956	-13320810	1.26E+09	0	0	0	0	0	25.47085	4.19E-03	-0.65175	5.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3
PYROPHYLLITE	1	4	1	0	0	0	0	0	AL(2)SI(4)O(12)H(2)	-5640780.7	239.4	12.76	665.93066	-5897.422	-4979913	6.62E+08	0	0	0	0	0	16.12535	4.87E-02	-1.72833	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0
QUARTZ-A	0	1	0	0	0	0	0	0	SI(1)O(2)	-910700	41.46	2.269	80.01199	-240.276	-3546684	4.92E+08	0	0	0	0	0	5.4216779	0	-0.55225867	2.30E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
QUARTZ-B	0	1	0	0	0	0	0	0	SI(1)O(2)	-908627	44.207	2.37	80.01199	-240.276	-3546684	4.92E+08	0	0	0	0	0	0	0	-0.29346933	1.68E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SANIDINE	0	3	0.5	0	0	0.5	0	0	K(1)AL(1)SI(3)O(8)	-3959704	229.1571	10.896	381.37231	-1941.045	-12037252	1.84E+09	0	0	0	0	0	16.502074	5.98E-03	-1.9661952	5.57E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	0	0.5	0	0
SIDEROPHYLLITE	1	2	1.5	0	0	0.5	2	0	SI(2)FE(2)AL(3)K(1)H(2)O(12)	-5614394.5	386	15.06	657.4929	-3119.922	-19480620	2.79E+09	0	0	0	0	0	51.877673	0	-2.5556495	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1.5	0	0	0.5	2	0
SILLIMANITE	0	1	1	0	0	0	0	0	AL(2)SI(1)O(5)	-2586091	95.93	4.983	256.73158	-1887.225	-2977353	2.51E+08	0	0	0	0	0	6.69252	0	-0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
SPINEL	0	0	1	0	0	0	0	1	MG(1)AL(2)O(4)	-2303106	80.37	3.978	244.672	-2003.98	0	0	0	0	0	0	0	8.62883	2.01E-03	-0.19469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
STILBITE	7	7	1	1	0	0	0	0	CA(1)AL(2)SI(7)O(25)H(14)	-10889880	718.667	32.86	1443.571	-9913.69	-22391220	3.13E+09	0	0	0	0	0	92.903943	1.64E-03	-1.06E-02	0	0	0	0	0	0	0	0	0	0	0	0	7	7	1	1	0	0	0	0
TALC	1	4	0	0	0	0	0	3	MG(3)SI(4)O(12)H(2)	-5902120	260.82	13.623	664.10522	-5187.172	-2147218	-3.27E+08	0	0	0	0	0	40.115391	0	-2.3144086	7.72E-03	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	3
TREMOLITE	1	8	0	2	0	0	0	5	CA(2)MG(5)SI(8)O(24)H(2)	-12313423	550.9287	27.312	1229.3601	-6401.9	-32089890	4.21E+09	0	0	0	0	0	66.569962	2.69E-02	-3.8012096	9.51E-03	0	0	0	0	0	0	0	0	0	0	0	1	8	0	2	0	0	0	5
TRIDYMITE-HIGH	0	1	0	0	0	0	0	0	SI(1)O(2)	-907045.12	45.5237	2.737	75.37267	0	-5958095	9.58E+08	0	0	0	0	0	1.3216022	0	-0.20245132	1.02E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TRIDYMITE-LOW	0	1	0	0	0	0	0	0	SI(1)O(2)	-907749.56	43.7702	2.675	75.37267	0	-5958095	9.58E+08	0	0	0	0	0	5.1733158	0	-0.67100337	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WAIRAKITE	2	4	1	1	0	0	0	0	CA(1)AL(2)SI(4)O(14)H(4)	-6661077.2	377.777	19.046	742.143	-4615.22	-14805540	2.01E+09	0	0	0	0	0	37.504418	0	-1.8850188	6.55E-03	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0
WOLLASTONITE	0	1	0	1	0	0	0	0	CA(1)SI(1)O(3)	-1631500	81.81	3.983	149.07266	-690.295	-3659348	4.84E+08	0	0	0	0	0	11.2241	0	-0.49585	1.24E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ZOISITE	0.5	3	1.5	2	0	0	0	0	CA(2)AL(3)SI(3)O(13)H(1)	-6889488.3	297.5759	13.588	749.17041	-6509.281	-2380525	1.25E+08	0	0	0	0	0	47.109	0	-0.69999995	1.75E-03	0	0	0	0	0	0	0	0	0	0	0	0.5	3	1.5	2	0	0	0	0
ZOISITE-CLINO	0.5	3	1.5	2	0	0	0	0	CA(2)AL(3)SI(3)O(13)H(1)	-6894967.7	287.0759	13.673	749.17037	-6509.283	-2380525	1.25E+08	0	0	0	0	0	47.403691	0	-0.70437881	1.76E-03	0	0	0	0	0	0	0	0	0	0	0	0.5	3	1.5	2	0	0	0	0
