TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0409	Berthierine_ISGS	Si(133.2)Al(164.4)Fe(162.2)Mg(15.7)O(900)H(400)Div(100)	101.2	-26.39	
!MIN	THCv9b0	_0410	Berthierine_Lorraine	Si(152)Al(105.2)Fe(154.4)Mg(37)O(900)H(400)Div(100)	103.8	6.912	
!MIN	THCv9b0	_0411	Bischofite	Mg(1)Cl(2)O(6)H(12)	1	-4.46	
MIN	THCv9b0	_0412	Bloedite	Mg(1)Na(2)S(2)O(12)H(8)	1	2.35	
MIN	THCv9b0	_0413	Boehmite	Al(1)O(2)H(1)	1	-7.62	
MIN	THCv9b0	_0414	Brucite	Mg(1)O(2)H(2)	23.63	-17.1	
MIN	THCv9b0	_0415	Brushite	Ca(1)P(1)O(6)H(5)	1	-0.6	
MIN	THCv9b0	_0416	Bunsenite	Ni(1)O(1)	1	-12.48	
MIN	THCv9b0	_0417	Burkeite	Na(6)C(1)S(2)O(11)	1	0.77	
MIN	THCv9b0	_0418	C	C(1)	1	-53.83	
MIN	THCv9b0	_0419	C2SH(alpha)	Si(1)Ca(2)O(5)H(2)	71.12	-35.54	
MIN	THCv9b0	_0420	C3AH6	Al(2)Ca(3)O(12)H(12)	149.5	-80.32	
MIN	THCv9b0	_0421	C3FH6	Fe(2)Ca(3)O(12)H(12)	154.5	-55.42	
MIN	THCv9b0	_0422	C4AH13	Al(2)Ca(4)O(20)H(26)	269.2	-103.7	
MIN	THCv9b0	_0423	C4FH13	Fe(2)Ca(4)O(20)H(26)	274.4	-78.19	
MIN	THCv9b0	_0424	CSH0.8	Si(100)Ca(80)O(434)H(308)Div(100)	59.29	-11.05	
MIN	THCv9b0	_0425	CSH1.2	Si(100)Ca(120)O(526)H(412)Div(100)	71.95	-19.3	
MIN	THCv9b0	_0426	CSH1.6	Si(100)Ca(160)O(618)H(516)Div(100)	84.68	-28	
MIN	THCv9b0	_0427	Ca(HPO4)	Ca(1)P(1)O(4)H(1)	1	-0.3	
MIN	THCv9b0	_0428	Ca(NO3)2	Ca(1)N(2)O(6)	1	-5.89	
MIN	THCv9b0	_0429	Ca(SO3)	Ca(1)S(1)O(3)	1	-40.11	
MIN	THCv9b0	_0430	Ca	Ca(1)	1	-139.8	
MIN	THCv9b0	_0431	Ca2Cl2(OH)2(H2O)	Ca(2)Cl(2)O(3)H(4)	1	-26.53	
MIN	THCv9b0	_0432	Ca2Fe2O5	Fe(2)Ca(2)O(5)	1	-39.79	
MIN	THCv9b0	_0433	Ca3(AsO4)2:xH2O	Ca(3)As(2)O(8)	1	21	
MIN	THCv9b0	_0434	Ca3(PO4)2(alfa)	Ca(3)P(2)O(8)	1	-10.22	
